Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIAS,Familia
P001,C-9,C-9,B-11,B-11,E-11,F4
P002,C-9,C-9,B-11,B-11,E-11,F4
P003,C-9,C-9,B-11,B-11,E-11,F4
P004,C-9,C-9,B-11,B-11,E-11,F4
P005,C-9,C-9,B-11,B-11,E-11,F4
P006,C-3,C-3,B-3,B-3,E-3,F4
P007,C-3,C-3,B-3,B-3,E-3,F4
P008,C-3,C-3,B-3,B-3,E-3,F4
P009,C-3,C-3,B-3,B-3,E-3,F4
P010,C-3,C-3,B-3,B-3,E-3,F4
P011,C-9,C-9,B-11,B-11,E-11,F4
P012,C-10,C-10,B-7,B-7,E-12,F4
P013,C-10,C-10,B-7,B-7,E-12,F4
P014,C-23,C-23,B-26,B-26,E-17,F4
P015,C-23,C-23,B-26,B-26,E-17,F4
P016,C-23,C-23,B-26,B-26,E-17,F4
P017,C-10,C-10,B-7,B-7,E-12,F4
P018,C-10,C-10,B-7,B-7,E-12,F4
P019,C-10,C-10,B-7,B-7,E-12,F4
P020,C-10,C-10,B-7,B-7,E-12,F4
P021,C-11,C-11,B-16,B-16,E-15,F4
P022,C-11,C-11,B-16,B-16,E-15,F4
P023,C-10,C-10,B-7,B-7,E-12,F4
P024,C-10,C-10,B-7,B-7,E-12,F4
P025,C-10,C-10,B-7,B-7,E-12,F4
P026,C-10,C-10,B-7,B-7,E-12,F4
P027,C-10,C-10,B-7,B-7,E-12,F4
P028,C-23,C-23,B-26,B-26,E-17,F4
P029,C-10,C-10,B-7,B-7,E-12,F4
P030,C-10,C-10,B-7,B-7,E-12,F4
P031,C-10,C-10,B-7,B-7,E-12,F4
P032,C-10,C-10,B-7,B-7,E-12,F4
P033,C-10,C-10,B-7,B-7,E-12,F4
P034,C-10,C-10,B-7,B-7,E-12,F4
P035,C-10,C-10,B-7,B-7,E-12,F4
P036,C-10,C-10,B-7,B-7,E-12,F4
P037,C-23,C-23,B-26,B-26,E-17,F4
P038,C-23,C-23,B-26,B-26,E-17,F4
P039,C-10,C-10,B-7,B-7,E-12,F4
P040,C-12,C-12,B-6,B-6,E-4,F4
P041,C-16,C-16,B-5,B-5,E-3,F4
