Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIAS,Familia
P001,C-22,C-3,B-22,B-9,E-6,F4
P002,C-6,C-35,B-6,B-6,E-8,F4
P003,C-24,C-24,B-24,B-9,E-24,F4
P004,C-24,C-24,B-24,B-9,E-25,F4
P005,C-24,C-24,B-24,B-9,E-26,F4
P006,C-14,C-3,B-5,UNIVERSAL,E-14,F4
P007,C-14,C-3,B-5,UNIVERSAL,E-14,F4
P008,C-14,C-3,B-5,UNIVERSAL,E-14,F4
P009,C-14,C-3,B-5,UNIVERSAL,E-14,F4
P010,C-14,C-3,B-5,UNIVERSAL,E-14,F4
P011,C-14,C-3,B-5,UNIVERSAL,E-14,F4
P012,C-14,C-3,B-5,UNIVERSAL,E-14,F4
P013,C-34,UNIVERSAL,B-5,UNIVERSAL,E-33,F4
P014,C-33,UNIVERSAL,B-5,UNIVERSAL,E-33,F4
P015,C-33,UNIVERSAL,B-5,UNIVERSAL,E-33,F4
P016,C-33,UNIVERSAL,B-5,UNIVERSAL,E-33,F4
P017,C-33,UNIVERSAL,B-5,UNIVERSAL,E-33,F4
