Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Familia
P001,C-25,C-25,B-25,B-25,E-1-10,E-2-13,F2
P002,C-28,C-28,B-28,B-28,E-1-4,E-2-3,F2
P003,C-25,C-25,B-25,B-25,E-1-10,E-2-13,F2
P004,C-25,C-25,B-25,B-25,E-1-10,E-2-13,F2
P005,C-28,C-28,B-28,B-28,E-1-4,E-2-3,F2
P006,C-27,C-27,B-27,B-27,,E-2-13,F2
P007,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P008,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P009,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P010,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P011,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P012,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P013,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P014,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P015,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P016,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P017,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P018,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P019,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P020,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P021,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P022,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P023,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P024,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P025,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P026,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P027,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P028,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P029,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P030,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P031,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P032,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P033,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P034,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P035,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P036,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P037,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P038,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P039,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P040,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P041,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P042,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P043,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P044,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P045,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P046,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P047,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P048,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P049,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P050,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P051,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P052,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P053,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P054,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P055,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P056,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P057,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P058,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P059,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P060,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P061,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P062,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P063,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P064,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P065,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P066,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P067,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P068,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P069,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P070,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P071,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P072,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P073,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P074,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P075,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P076,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P077,C-11,C-11,B-11,B-11,E-1-3,E-2-2,F2
P078,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P079,C-39,C-39,B-39,B-39,E-1-8,E-2-11,F2
P080,C-39,C-39,B-39,B-39,E-1-8,E-2-11,F2
P081,C-39,C-39,B-39,B-39,E-1-8,E-2-11,F2
P082,C-45,C-45,B-45,B-45,,,F2
P083,C-45,C-45,B-45,B-45,,,F2
P084,C-45,C-45,B-45,B-45,,,F2
P085,C-45,C-45,B-45,B-45,,,F2
P086,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P087,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P088,C-11,B-11,B-11,B-11,E-1-3,E-2-2,F2
P089,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P090,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P091,C-14,C-14,B-14,B-14,E-1-4,E-2-3,F2
P092,C-17,C-17,B-17,B-17,E-1-3,E-2-2,F2
P093,C-32,C-32,B-32,B-32,E-1-4,E-2-3,F2
P094,C-15,C-15,B-15,B-15,E-1-6,E-2-6,F2
P095,C-15,C-15,B-15,B-15,E-1-6,E-2-6,F2
P096,C-15,C-15,B-15,B-15,E-1-6,E-2-6,F2
P097,C-15,C-15,B-15,B-15,E-1-6,E-2-6,F2
P098,C-12,C-12,B-12,B-12,E-1-7,E-2-5,F2
P099,C-12,C-12,B-12,B-12,E-1-7,E-2-5,F2
P100,C-12,C-12,B-12,B-12,E-1-7,E-2-5,F2
P101,C-9,C-9,B-9,B-9,E-1-16,E-2-8,F2
P102,C-9,C-9,B-9,B-9,E-1-16,E-2-8,F2
P103,C-9,C-9,B-9,B-9,E-1-16,E-2-8,F2
P104,C-9,C-9,B-9,B-9,E-1-16,E-2-8,F2
P105,C-44,C-44,B-44,B-44,E-1-1,E-2-7,F2
P106,C-44,C-44,B-44,B-44,E-1-1,E-2-7,F2
P107,C-44,C-44,B-44,B-44,E-1-1,E-2-7,F2
P108,C-9,C-3,B-9,B-9,E-14,E-2-7,F2
P109,C-9,C-3,B-9,B-9,E-14,E-2-7,F2
P110,C-9,C-3,B-9,B-9,E-14,E-2-7,F2
P111,C-9,C-3,B-9,B-9,E-14,E-2-7,F2
P112,C-9,C-3,B-9,B-9,E-14,E-2-7,F2
P113,C-10,C-3,B-5,UNIVERSAL,E-14,E-2-7,F2
P114,C-10,C-3,B-5,UNIVERSAL,E-14,E-2-7,F2
P115,C-11,C-3,B-5,UNIVERSAL,E-11,E-2-7,F2
P116,C-11,C-3,B-5,UNIVERSAL,E-11,E-2-7,F2
P117,C-12,C-3,B-5,UNIVERSAL,E-11,E-2-7,F2
P118,C-12,C-3,B-5,UNIVERSAL,E-11,E-2-7,F2
P119,C-9,C-3,B-5,UNIVERSAL,E-14,E-2-7,F2
P120,C-9,C-3,B-5,UNIVERSAL,E-14,E-2-7,F2
P121,C-10,C-3,B-5,UNIVERSAL,E-14,E-2-7,F2
P122,C-36,C-36,B-36,B-36,E-1-15,E-2-9,F2
