Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIAS,Familia
P001,C-16,C-4,B-16,B-16,E-16,F2
P002,C-16,C-4,B-16,B-16,E-16,F2
P003,C-16,C-4,B-16,B-16,E-16,F2
P004,C-16,C-4,B-16,B-16,E-16,F2
P005,C-16,C-4,B-16,B-16,E-16,F2
P006,C-16,C-4,B-16,B-16,E-16,F2
P007,C-16,C-4,B-16,B-16,E-16,F2
P008,C-16,C-4,B-16,B-16,E-16,F2
P009,C-16,C-4,B-16,B-16,E-16,F2
P010,C-16,C-4,B-16,B-16,E-16,F2
P011,C-16,C-4,B-16,B-16,E-16,F2
P012,C-16,C-4,B-16,B-16,E-16,F2
P013,C-16,C-4,B-16,B-16,E-16,F2
P014,C-16,C-4,B-16,B-16,E-16,F2
P015,C-16,C-4,B-16,B-16,E-16,F2
P016,C-16,C-4,B-16,B-16,E-16,F2
P017,C-16,C-4,B-16,B-16,E-16,F2
P018,C-16,C-4,B-16,B-16,E-16,F2
P019,C-16,C-4,B-16,B-16,E-16,F2
P020,C-17,C-4,B-17,B-16,E-17,F2
P021,C-17,C-4,B-17,B-16,E-17,F2
P022,C-17,C-4,B-17,B-16,E-17,F2
P023,C-17,C-4,B-17,B-16,E-17,F2
P024,C-17,C-4,B-17,B-16,E-17,F2
P025,C-20,C-20,B-20,B-16,E-20,F2
P026,C-20,C-20,B-20,B-16,E-20,F2
P027,C-20,C-20,B-20,B-16,E-20,F2
P028,C-20,C-20,B-20,B-16,E-20,F2
P029,C-20,C-20,B-20,B-16,E-20,F2
P030,C-18,C-4,B-18,B-16,E-17,F2
P031,C-19,C-4,B-19,B-16,E-17,F2
