Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIAS,Familia
P001,,,,,,F1
P002,,,,,,F1
P003,C-17,C-17,B-15,B-15,E-8,F1
P004,C-18,C-18,B-8,B-8,E-5,F1
P005,C-19,C-19,B-23,B-23,E-16,F1
P006,C-22,C-22,B-9,B-9,E-6,F1
P007,C-22,C-22,B-9,B-9,E-6,F1
P008,C-22,C-22,B-9,B-9,E-6,F1
P009,C-22,C-22,B-9,B-9,E-6,F1
P010,C-18,C-18,B-8,B-8,E-5,F1
P011,C-18,C-18,B-8,B-8,E-5,F1
P012,C-17,C-17,B-15,B-15,E-8,F1
P013,C-17,C-17,B-15,B-15,E-8,F1
P014,C-18,C-18,B-8,B-8,E-5,F1
P015,C-17,C-17,B-15,B-15,E-8,F1
P016,C-17,C-17,B-15,B-15,E-8,F1
P017,C-22,C-22,B-9,,E-6,F1
P018,C-22,C-22,B-9,B-9,E-6,F1
P019,C-17,C-17,B-15,B-15,E-8,F1
P020,C-22,C-22,B-9,B-9,E-6,F1
P021,C-21,C-21,B-25,B-25,E-5,F1
P022,C-21,C-21,B-25,B-25,E-5,F1
P023,C-18,C-18,B-8,B-8,E-5,F1
P024,C-19,C-19,B-23,B-23,E-16,F1
P025,C-20,C-20,B-24,B-24,E-16,F1
P026,C-22,C-22,B-9,B-9,E-6,F1
