Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIAS,Familia
P001,C-1,C-1,B-4,B-4,E-2,F2
P002,C-1,C-1,B-4,B-4,E-2,F2
P003,C-1,C-1,B-4,B-4,E-2,F2
P004,C-1,C-1,B-4,B-4,E-2,F2
P005,C-1,C-1,B-4,B-4,E-2,F2
P006,C-1,C-1,B-4,B-4,E-2,F2
P007,C-8,C-8,B-1,B-1,E-1,F2
P008,C-8,C-8,B-1,B-1,E-1,F2
P009,C-8,C-8,B-1,B-1,E-1,F2
P010,C-8,C-8,B-1,B-1,E-1,F2
P011,C-8,C-8,B-1,B-1,E-1,F2
P012,C-8,C-8,B-1,B-1,E-1,F2
P013,C-5,C-5,B-2,B-2,E-1,F2
P014,C-5,C-5,B-2,B-2,E-1,F2
P015,C-5,C-5,B-2,B-2,E-1,F2
P016,C-5,C-5,B-2,B-2,E-1,F2
P017,C-5,C-5,B-2,B-2,E-1,F2
P018,C-8,C-8,B-1,B-1,E-1,F2
P019,C-8,C-8,B-1,B-1,E-1,F2
P020,C-5,C-5,B-2,B-2,E-1,F2
P021,C-5,C-5,B-2,B-2,E-1,F2
P022,C-5,C-5,B-2,B-2,E-1,F2
P023,C-8,C-8,B-1,B-1,E-1,F2
P024,C-8,C-8,B-1,B-1,E-1,F2
