Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Familia
P001,,,,,,,F3
P002,,,,,,,F3
P003,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P004,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P005,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P006,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P007,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P008,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P009,C-8,C-8,B-14,B-14,E-1-14,E-2-14,F3
P010,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P011,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P012,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P013,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P014,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P015,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P016,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P017,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P018,C-8,C-8,B-14,B-14,E-1-14,E-2-14,F3
P019,C-8,C-8,B-14,B-14,E-1-14,E-2-14,F3
P020,C-8,C-8,B-14,B-14,E-1-14,E-2-14,F3
P021,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P022,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P023,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P024,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P025,C-7,C-7,B-13,B-13,E-1-13,E-2-13,F3
P026,F-1,F-1,B-1,B-1,E-1-1,E-2-1,F3
P027,F-1,F-1,B-1,B-1,E-1-1,E-2-1,F3
P028,F-4,F-4,B-4,B-4,E-1-4,E-2-4,F3
P029,F-1,F-1,B-1,B-1,E-1-1,E-2-1,F3
P030,F-4,F-4,B-4,B-4,E-1-4,E-2-4,F3
P031,F-1,F-1,B-1,B-1,E-1-1,E-2-1,F3
P032,F-1,F-1,B-1,B-1,E-1-1,E-2-1,F3
P033,F-2,F-2,B-2,B-2,E-1-2,E-2-2,F3
P034,F-2,F-2,B-2,B-2,E-1-2,E-2-2,F3
P035,F-3,F-3,B-3,B-3,E-1-3,E-2-3,F3
P036,F-3,F-3,B-3,B-3,E-1-3,E-2-3,F3
P037,F-4,F-4,B-4,B-4,E-1-4,E-2-4,F3
P038,F-5,F-5,B-5,B-5,E-1-5,E-2-5,F3
P039,F-6,F-6,B-6,B-6,E-1-6,E-2-6,F3
P040,F-4,F-4,B-4,B-4,E-1-4,E-2-4,F3
P041,F-3,F-3,B-3,B-3,E-1-3,E-2-3,F3
P042,F-1,F-1,B-1,B-1,E-1-1,E-2-1,F3
P043,F-2,F-2,B-2,B-2,E-1-2,E-2-2,F3
P044,F-2,F-2,B-2,B-2,E-1-2,E-2-2,F3
P045,F-3,F-3,B-3,B-3,E-1-3,E-2-3,F3
P046,F-4,F-4,B-4,B-4,E-1-4,E-2-4,F3
P047,F-5,F-5,B-5,B-5,E-1-5,E-2-5,F3
P048,F-5,F-5,B-5,B-5,E-1-5,E-2-5,F3
P049,F-6,F-6,B-6,B-6,E-1-6,E-2-6,F3
