Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Familia
P001,C-10,C-10,B-16,B-16,E-1-16,E-2-16,F1
P002,C-10,C-10,B-16,B-16,E-1-16,E-2-16,F1
P003,C-10,C-10,B-16,B-16,E-1-16,E-2-16,F1
P004,C-10,C-10,B-16,B-16,E-1-16,E-2-16,F1
P005,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P006,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P007,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P008,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P009,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P010,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P011,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P012,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P013,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P014,C-11,C-11,B-17,B-17,E-1-17,E-2-17,F1
P015,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P016,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P017,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P018,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P019,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P020,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P021,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P022,C-11,C-11,B-17,B-17,E-1-17,E-2-17,F1
P023,C-9,C-9,B-15,B-15,E-1-15,E-2-15,F1
P024,C-12,C-12,B-18,B-18,E-1-18,E-2-18,F1
P025,C-12,C-12,B-18,B-18,E-1-18,E-2-18,F1
P026,C-12,C-12,B-18,B-18,E-1-18,E-2-18,F1
P027,C-12,C-12,B-18,B-18,E-1-18,E-2-18,F1
P028,C-14,C-14,B-20,B-20,E-1-20,E-2-20,F1
P029,C-14,C-14,B-20,B-20,E-1-20,E-2-20,F1
P030,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P031,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P032,C-14,C-14,B-20,B-20,E-1-20,E-2-20,F1
P033,C-14,C-14,B-20,B-20,E-1-20,E-2-20,F1
P034,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P035,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P036,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P037,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P038,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P039,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P040,C-12,C-12,B-18,B-18,E-1-18,E-2-18,F1
P041,C-12,C-12,B-18,B-18,E-1-18,E-2-18,F1
P042,C-12,C-12,B-18,B-18,E-1-18,E-2-18,F1
P043,C-14,C-14,B-20,B-20,E-1-20,E-2-20,F1
P044,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P045,C-13,C-13,B-19,B-19,E-1-19,E-2-19,F1
P046,C-3,C-3,B-9,B-9,E-1-9,E-2-8,F1
P047,C-3,C-3,B-9,B-9,E-1-9,E-2-8,F1
P048,C-3,C-3,B-9,B-9,E-1-9,E-2-8,F1
P049,C-3,C-3,B-9,B-9,E-1-9,E-2-8,F1
P050,C-3,C-3,B-9,B-9,E-1-9,E-2-8,F1
P051,C-3,C-3,B-9,B-9,E-1-9,E-2-8,F1
P052,C-3,C-3,B-9,B-9,E-1-9,E-2-8,F1
P053,C-3,C-3,B-9,B-9,E-1-9,E-2-8,F1
P054,C-3,C-3,B-9,B-9,E-1-9,E-2-8,F1
P055,C-15,C-15,B-21,B-21,,,F1
P056,C-15,C-15,B-21,B-21,,,F1
P057,C-16,C-16,B-22,B-22,,,F1
P058,C-17,C-17,B-23,B-23,,,F1
P059,C-17,C-17,B-23,B-23,,,F1
