Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Linea
P0101,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0102,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0103,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0104,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0105,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0106,C-8,C-8,B-14,B-14,E-1-14,E-2-14,L4
P0107,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0108,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0109,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0110,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0111,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0112,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0113,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0114,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0115,C-8,C-8,B-14,B-14,E-1-14,E-2-14,L4
P0116,C-8,C-8,B-14,B-14,E-1-14,E-2-14,L4
P0117,C-8,C-8,B-14,B-14,E-1-14,E-2-14,L4
P0118,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0119,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0120,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0121,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0122,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
P0123,F-1,F-1,B-1,B-1,E-1-1,E-2-1,L4
P0124,F-1,F-1,B-1,B-1,E-1-1,E-2-1,L4
P0125,F-4,F-4,B-4,B-4,E-1-4,E-2-4,L4
P0126,F-1,F-1,B-1,B-1,E-1-1,E-2-1,L4
P0127,F-4,F-4,B-4,B-4,E-1-4,E-2-4,L4
P0128,F-1,F-1,B-1,B-1,E-1-1,E-2-1,L4
P0129,F-1,F-1,B-1,B-1,E-1-1,E-2-1,L4
P0130,F-2,F-2,B-2,B-2,E-1-2,E-2-2,L4
P0131,F-2,F-2,B-2,B-2,E-1-2,E-2-2,L4
P0132,F-3,F-3,B-3,B-3,E-1-3,E-2-3,L4
P0133,F-3,F-3,B-3,B-3,E-1-3,E-2-3,L4
P0134,F-4,F-4,B-4,B-4,E-1-4,E-2-4,L4
P0135,F-5,F-5,B-5,B-5,E-1-5,E-2-5,L4
P0136,F-6,F-6,B-6,B-6,E-1-6,E-2-6,L4
P0137,F-4,F-4,B-4,B-4,E-1-4,E-2-4,L4
P0138,F-3,F-3,B-3,B-3,E-1-3,E-2-3,L4
P0139,F-1,F-1,B-1,B-1,E-1-1,E-2-1,L4
P0140,F-2,F-2,B-2,B-2,E-1-2,E-2-2,L4
P0141,F-2,F-2,B-2,B-2,E-1-2,E-2-2,L4
P0142,F-3,F-3,B-3,B-3,E-1-3,E-2-3,L4
P0143,F-4,F-4,B-4,B-4,E-1-4,E-2-4,L4
P0144,F-5,F-5,B-5,B-5,E-1-5,E-2-5,L4
P0145,F-5,F-5,B-5,B-5,E-1-5,E-2-5,L4
P0146,F-6,F-6,B-6,B-6,E-1-6,E-2-6,L4
