Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Linea
P0001,C-10,C-10,B-16,B-16,E-1-16,E-2-16,L4
P0002,C-10,C-10,B-16,B-16,E-1-16,E-2-16,L4
P0003,C-10,C-10,B-16,B-16,E-1-16,E-2-16,L4
P0004,C-10,C-10,B-16,B-16,E-1-16,E-2-16,L4
P0005,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0006,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0007,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0008,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0009,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0010,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0011,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0012,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0013,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0014,C-11,C-11,B-17,B-17,E-1-17,E-2-17,L4
P0015,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0016,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0017,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0018,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0019,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0020,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0021,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0022,C-11,C-11,B-17,B-17,E-1-17,E-2-17,L4
P0023,C-9,C-9,B-15,B-15,E-1-15,E-2-15,L4
P0024,C-12,C-12,B-18,B-18,E-1-18,E-2-18,L4
P0025,C-12,C-12,B-18,B-18,E-1-18,E-2-18,L4
P0026,C-12,C-12,B-18,B-18,E-1-18,E-2-18,L4
P0027,C-12,C-12,B-18,B-18,E-1-18,E-2-18,L4
P0028,C-14,C-14,B-20,B-20,E-1-20,E-2-20,L4
P0029,C-14,C-14,B-20,B-20,E-1-20,E-2-20,L4
P0030,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0031,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0032,C-14,C-14,B-20,B-20,E-1-20,E-2-20,L4
P0033,C-14,C-14,B-20,B-20,E-1-20,E-2-20,L4
P0034,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0035,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0036,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0037,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0038,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0039,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0040,C-12,C-12,B-18,B-18,E-1-18,E-2-18,L4
P0041,C-12,C-12,B-18,B-18,E-1-18,E-2-18,L4
P0042,C-12,C-12,B-18,B-18,E-1-18,E-2-18,L4
P0043,C-14,C-14,B-20,B-20,E-1-20,E-2-20,L4
P0044,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0045,C-13,C-13,B-19,B-19,E-1-19,E-2-19,L4
P0046,C-3,C-3,B-9,B-9,E-1-9,E-2-8,L4
P0047,C-3,C-3,B-9,B-9,E-1-9,E-2-8,L4
P0048,C-3,C-3,B-9,B-9,E-1-9,E-2-8,L4
P0049,C-3,C-3,B-9,B-9,E-1-9,E-2-8,L4
P0050,C-3,C-3,B-9,B-9,E-1-9,E-2-8,L4
P0051,C-3,C-3,B-9,B-9,E-1-9,E-2-8,L4
P0052,C-3,C-3,B-9,B-9,E-1-9,E-2-8,L4
P0053,C-3,C-3,B-9,B-9,E-1-9,E-2-8,L4
P0054,C-3,C-3,B-9,B-9,E-1-9,E-2-8,L4
P0055,C-15,C-15,B-21,B-21,,,L4
P0056,C-15,C-15,B-21,B-21,,,L4
P0057,C-16,C-16,B-22,B-22,,,L4
P0058,C-17,C-17,B-23,B-23,,,L4
P0059,C-17,C-17,B-23,B-23,,,L4
P0060,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0061,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0062,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0063,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0064,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0065,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0066,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0067,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0068,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0069,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0070,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0071,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0072,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0073,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0074,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0075,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0076,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0077,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0078,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0079,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0080,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0081,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0082,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0083,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0084,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0085,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0086,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0087,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0088,C-5,C-5,B-11,B-11,E-1-11,E-2-10,L4
P0089,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0090,C-4,C-4,B-10,B-10,E-1-10,E-2-9,L4
P0091,C-5,C-5,B-11,B-11,E-1-11,E-2-11,L4
P0092,C-5,C-5,B-11,B-11,E-1-11,E-2-11,L4
P0093,C-5,C-5,B-11,B-11,E-1-11,E-2-11,L4
P0094,C-5,C-5,B-11,B-11,E-1-11,E-2-11,L4
P0095,C-16,C-16,B-16,B-16,E-1-2,E-2-1,L4
P0096,C-16,C-16,B-16,B-16,E-1-2,E-2-1,L4
P0097,C-16,C-16,B-16,B-16,E-1-2,E-2-1,L4
P0098,,,,,,,L4
P0099,,,,,,,L4
P0100,C-7,C-7,B-13,B-13,E-1-13,E-2-13,L4
