Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIAS,Familia
P001,C-14,C-14,B-18,B-18,E-14,F3
P002,C-15,C-15,B-19,B-19,E-14,F3
P003,C-15,C-15,B-19,B-19,E-14,F3
P004,C-15,C-15,B-19,B-19,E-14,F3
P005,C-15,C-15,B-19,B-19,E-14,F3
P006,C-13,C-13,B-17,B-17,E-14,F3
P007,C-13,C-13,B-17,B-17,E-14,F3
P008,C-13,C-13,B-17,B-17,E-14,F3
P009,C-4,C-4,B-14,B-14,E-10,F3
P010,C-15,C-15,B-19,B-19,E-14,F3
P011,C-15,C-15,B-19,B-19,E-14,F3
P012,C-15,C-15,B-19,B-19,E-14,F3
P013,C-2,C-2,B-12,B-12,E-9,F3
P014,C-2,C-2,B-12,B-12,E-9,F3
P015,C-2,C-2,B-12,B-12,E-9,F3
P016,C-15,C-15,B-19,B-19,E-14,F3
P017,C-15,C-15,B-19,B-19,E-14,F3
P018,C-15,C-15,B-19,B-19,E-14,F3
P019,C-15,C-15,B-19,B-19,E-14,F3
P020,C-6,C-6,B-21,B-21,E-14,F3
P021,C-15,C-15,B-19,B-19,E-14,F3
P022,C-15,C-15,B-19,B-19,E-14,F3
P023,C-15,C-15,B-19,B-19,E-14,F3
P024,C-15,C-15,B-19,B-19,E-14,F3
P025,C-15,C-15,B-19,B-19,E-14,F3
P026,C-15,C-15,B-19,B-19,E-14,F3
P027,C-15,C-15,B-19,B-19,E-14,F3
P028,C-2,C-2,B-12,B-12,E-9,F3
P029,C-15,C-15,B-19,B-19,E-14,F3
P030,C-6,C-6,B-21,B-21,E-14,F3
P031,C-2,C-2,B-12,B-12,E-9,F3
P032,C-13,C-13,B-17,B-17,E-14,F3
P033,C-13,C-13,B-17,B-17,E-14,F3
P034,C-13,C-13,B-17,B-17,E-14,F3
P035,C-13,C-13,B-17,B-17,E-14,F3
P036,C-13,C-13,B-17,B-17,E-14,F3
P037,C-13,C-13,B-17,B-17,E-14,F3
P038,C-4,C-4,B-14,B-14,E-10,F3
P039,C-4,C-4,B-14,B-14,E-10,F3
P040,C-4,C-4,B-14,B-14,E-10,F3
P041,C-13,C-13,B-17,B-17,E-14,F3
P042,C-13,C-13,B-17,B-17,E-14,F3
P043,C-4,C-4,B-14,B-14,E-10,F3
P044,C-25,C-25,B-13,B-13,E-9,F3
P045,C-7,C-7,B-10,B-10,E-13,F3
P046,C-7,C-7,B-10,B-10,E-13,F3
P047,C-7,C-7,B-10,B-10,E-13,F3
