Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Linea
P0093,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0094,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0095,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0096,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0097,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0098,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0099,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0100,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0101,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0102,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0103,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0104,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0105,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0106,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0107,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0108,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0109,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0110,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0111,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0112,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0113,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0114,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0115,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0116,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0117,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0118,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0119,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0120,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0121,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0122,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0123,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0124,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0125,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0126,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0127,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0128,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0129,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0130,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0131,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0132,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0133,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0134,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0135,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0136,C-11,C-11,B-11,B-11,E-1-3,E-2-2,L3
P0137,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0138,C-39,C-39,B-39,B-39,E-1-8,E-2-11,L3
P0139,C-39,C-39,B-39,B-39,E-1-8,E-2-11,L3
P0140,C-39,C-39,B-39,B-39,E-1-8,E-2-11,L3
P0141,C-45,C-45,B-45,B-45,,,L3
P0142,C-45,C-45,B-45,B-45,,,L3
P0143,C-45,C-45,B-45,B-45,,,L3
P0144,C-45,C-45,B-45,B-45,,,L3
P0145,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0146,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0147,C-11,B-11,B-11,B-11,E-1-3,E-2-2,L3
P0148,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0149,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0150,C-14,C-14,B-14,B-14,E-1-4,E-2-3,L3
P0151,C-17,C-17,B-17,B-17,E-1-3,E-2-2,L3
P0152,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
P0153,C-15,C-15,B-15,B-15,E-1-6,E-2-6,L3
P0154,C-15,C-15,B-15,B-15,E-1-6,E-2-6,L3
P0155,C-15,C-15,B-15,B-15,E-1-6,E-2-6,L3
P0156,C-15,C-15,B-15,B-15,E-1-6,E-2-6,L3
P0157,C-12,C-12,B-12,B-12,E-1-7,E-2-5,L3
P0158,C-12,C-12,B-12,B-12,E-1-7,E-2-5,L3
P0159,C-12,C-12,B-12,B-12,E-1-7,E-2-5,L3
P0160,C-9,C-9,B-9,B-9,E-1-16,E-2-8,L3
P0161,C-9,C-9,B-9,B-9,E-1-16,E-2-8,L3
P0162,C-9,C-9,B-9,B-9,E-1-16,E-2-8,L3
P0163,C-9,C-9,B-9,B-9,E-1-16,E-2-8,L3
P0164,C-44,C-44,B-44,B-44,E-1-1,E-2-7,L3
P0165,C-44,C-44,B-44,B-44,E-1-1,E-2-7,L3
P0166,C-44,C-44,B-44,B-44,E-1-1,E-2-7,L3
P0167,C-9,C-3,B-9,B-9,E-14,E-2-7,L3
P0168,C-9,C-3,B-9,B-9,E-14,E-2-7,L3
P0169,C-9,C-3,B-9,B-9,E-14,E-2-7,L3
P0170,C-9,C-3,B-9,B-9,E-14,E-2-7,L3
P0171,C-9,C-3,B-9,B-9,E-14,E-2-7,L3
P0172,C-10,C-3,B-5,UNIVERSAL,E-14,E-2-7,L3
P0173,C-10,C-3,B-5,UNIVERSAL,E-14,E-2-7,L3
P0174,C-11,C-3,B-5,UNIVERSAL,E-11,E-2-7,L3
P0175,C-11,C-3,B-5,UNIVERSAL,E-11,E-2-7,L3
P0176,C-12,C-3,B-5,UNIVERSAL,E-11,E-2-7,L3
P0177,C-12,C-3,B-5,UNIVERSAL,E-11,E-2-7,L3
P0178,C-9,C-3,B-5,UNIVERSAL,E-14,E-2-7,L3
P0179,C-9,C-3,B-5,UNIVERSAL,E-14,E-2-7,L3
P0180,C-10,C-3,B-5,UNIVERSAL,E-14,E-2-7,L3
P0181,C-36,C-36,B-36,B-36,E-1-15,E-2-9,L3
P0182,C-16,C-16,B-16,B-16,E-1-2,E-2-1,L3
P0183,C-16,C-16,B-16,B-16,E-1-2,E-2-1,L3
P0184,C-16,C-16,B-16,B-16,E-1-2,E-2-1,L3
P0185,C-16,C-16,B-16,B-16,E-1-2,E-2-1,L3
P0186,C-16,C-16,B-16,B-16,E-1-2,E-2-1,L3
P0187,C-13,C-13,B-13,B-13,E-1-2,E-2-1,L3
P0188,C-7,C-7,B-7,B-7,E-1-2,E-2-1,L3
P0189,C-7,C-7,B-7,B-7,E-1-2,E-2-1,L3
P0190,C-7,C-7,B-7,B-7,E-1-2,E-2-1,L3
P0191,C-7,C-7,B-7,B-7,E-1-2,E-2-1,L3
P0192,C-7,C-7,B-7,B-7,E-1-2,E-2-1,L3
P0193,C-7,C-7,B-7,B-7,E-1-2,E-2-1,L3
P0194,C-7,C-7,B-7,B-7,E-1-2,E-2-1,L3
P0195,C-8,C-8,B-8,B-8,E-1-2,E-2-1,L3
P0196,C-16,C-16,B-16,B-16,E-1-2,E-2-1,L3
P0197,C-13,C-13,B-13,B-13,E-1-2,E-2-1,L3
P0198,C-13,C-13,B-13,B-13,E-1-2,E-2-1,L3
P0199,C-10,C-10,B-10,B-10,E-1-5,E-2-4,L3
P0200,C-5,C-5,B-5,B-5,E-1-5,E-2-4,L3
P0201,C-5,C-5,B-5,B-5,E-1-5,E-2-4,L3
P0202,C-5,C-5,B-5,B-5,E-1-5,E-2-4,L3
P0203,C-21,C-21,B-21,B-21,E-1-5,E-2-4,L3
P0204,C-21,C-21,B-21,B-21,E-1-5,E-2-4,L3
P0205,C-34,C-34,B-34,B-34,E-1-5,E-2-4,L3
P0206,C-34,C-34,B-34,B-34,E-1-5,E-2-4,L3
P0207,C-34,C-34,B-34,B-34,E-1-5,E-2-4,L3
P0208,C-34,C-34,B-34,B-34,E-1-5,E-2-4,L3
P0209,C-10,C-10,B-10,B-10,E-1-5,E-2-4,L3
P0210,C-33,C-33,B-33,B-33,E-1-15,E-2-9,L3
P0211,C-34,C-34,B-34,B-34,E-1-5,E-2-4,L3
P0212,C-34,C-34,B-34,B-34,E-1-5,E-2-4,L3
P0213,C-34,C-34,B-34,B-34,E-1-5,E-2-4,L3
P0214,C-4,C-4,B-4,B-4,E-1-3,E-2-2,L3
P0215,C-21,B-21,B-21,B-21,E-1-5,E-2-4,L3
P0216,C-4,C-4,B-4,B-4,E-1-3,E-2-2,L3
P0217,C-33,C-33,B-33,B-33,E-1-15,E-2-9,L3
P0218,C-5,C-5,B-5,B-5,E-1-5,E-2-4,L3
P0219,C-5,C-5,B-5,B-5,E-1-5,E-2-4,L3
P0220,C-5,C-5,B-5,B-5,E-1-5,E-2-4,L3
P0221,C-21,B-21,B-21,B-21,E-1-5,E-2-4,L3
P0222,C-5,C-5,B-5,B-5,E-1-4,E-2-3,L3
P0223,C-5,C-5,B-5,B-5,E-1-4,E-2-3,L3
P0224,C-5,C-5,B-5,B-5,E-1-4,E-2-3,L3
P0225,C-30,C-30,B-30,B-30,E-1-10,E-2-13,L3
P0226,C-42,C-42,B-42,B-42,E-1-12,E-2-14,L3
P0227,C-42,C-42,B-42,B-42,E-1-12,E-2-14,L3
P0228,C-42,C-42,B-42,B-42,E-1-12,E-2-14,L3
P0229,C-48,C-48,B-48,B-48,,,L3
P0230,C-48,C-48,B-48,B-48,,,L3
P0231,C-16,B-16,B-16,B-16,E-1-2,E-2-1,L3
P0232,C-16,B-16,B-16,B-16,E-1-2,E-2-1,L3
P0233,C-16,B-16,B-16,B-16,E-1-2,E-2-1,L3
P0234,C-7,C-7,B-7,B-7,E-1-2,E-2-1,L3
P0235,C-7,C-7,B-7,B-7,E-1-2,E-2-1,L3
P0236,C-8,B-8,B-8,B-8,E-1-2,E-2-1,L3
P0237,C-8,B-8,B-8,B-8,E-1-2,E-2-1,L3
P0238,C-8,B-8,B-8,B-8,E-1-2,E-2-1,L3
P0239,C-31,C-31,B-31,B-31,E-1-10,E-2-13,L3
P0240,C-31,B-31,B-31,B-31,E-1-10,E-2-13,L3
P0241,C-31,B-31,B-31,B-31,E-1-10,E-2-13,L3
P0242,C-29,C-29,B-29,B-29,E-1-10,E-2-13,L3
P0243,C-31,B-31,B-31,B-31,E-1-10,E-2-13,L3
P0244,C-31,B-31,B-31,B-31,E-1-10,E-2-13,L3
P0245,C-31,B-31,B-31,B-31,E-1-10,E-2-13,L3
