Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Familia
P001,C-16,C-16,B-16,B-16,E-1-2,E-2-1,F3
P002,C-16,C-16,B-16,B-16,E-1-2,E-2-1,F3
P003,C-16,C-16,B-16,B-16,E-1-2,E-2-1,F3
P004,C-16,C-16,B-16,B-16,E-1-2,E-2-1,F3
P005,C-16,C-16,B-16,B-16,E-1-2,E-2-1,F3
P006,C-13,C-13,B-13,B-13,E-1-2,E-2-1,F3
P007,C-7,C-7,B-7,B-7,E-1-2,E-2-1,F3
P008,C-7,C-7,B-7,B-7,E-1-2,E-2-1,F3
P009,C-7,C-7,B-7,B-7,E-1-2,E-2-1,F3
P010,C-7,C-7,B-7,B-7,E-1-2,E-2-1,F3
P011,C-7,C-7,B-7,B-7,E-1-2,E-2-1,F3
P012,C-7,C-7,B-7,B-7,E-1-2,E-2-1,F3
P013,C-7,C-7,B-7,B-7,E-1-2,E-2-1,F3
P014,C-8,C-8,B-8,B-8,E-1-2,E-2-1,F3
P015,C-16,C-16,B-16,B-16,E-1-2,E-2-1,F3
P016,C-13,C-13,B-13,B-13,E-1-2,E-2-1,F3
P017,C-13,C-13,B-13,B-13,E-1-2,E-2-1,F3
P018,C-10,C-10,B-10,B-10,E-1-5,E-2-4,F3
P019,C-5,C-5,B-5,B-5,E-1-5,E-2-4,F3
P020,C-5,C-5,B-5,B-5,E-1-5,E-2-4,F3
P021,C-5,C-5,B-5,B-5,E-1-5,E-2-4,F3
P022,C-21,C-21,B-21,B-21,E-1-5,E-2-4,F3
P023,C-21,C-21,B-21,B-21,E-1-5,E-2-4,F3
P024,C-34,C-34,B-34,B-34,E-1-5,E-2-4,F3
P025,C-34,C-34,B-34,B-34,E-1-5,E-2-4,F3
P026,C-34,C-34,B-34,B-34,E-1-5,E-2-4,F3
P027,C-34,C-34,B-34,B-34,E-1-5,E-2-4,F3
P028,C-10,C-10,B-10,B-10,E-1-5,E-2-4,F3
P029,C-33,C-33,B-33,B-33,E-1-15,E-2-9,F3
P030,C-34,C-34,B-34,B-34,E-1-5,E-2-4,F3
P031,C-34,C-34,B-34,B-34,E-1-5,E-2-4,F3
P032,C-34,C-34,B-34,B-34,E-1-5,E-2-4,F3
P033,C-4,C-4,B-4,B-4,E-1-3,E-2-2,F3
P034,C-21,B-21,B-21,B-21,E-1-5,E-2-4,F3
P035,C-4,C-4,B-4,B-4,E-1-3,E-2-2,F3
P036,C-33,C-33,B-33,B-33,E-1-15,E-2-9,F3
P037,C-5,C-5,B-5,B-5,E-1-5,E-2-4,F3
P038,C-5,C-5,B-5,B-5,E-1-5,E-2-4,F3
P039,C-5,C-5,B-5,B-5,E-1-5,E-2-4,F3
P040,C-21,B-21,B-21,B-21,E-1-5,E-2-4,F3
P041,C-5,C-5,B-5,B-5,E-1-4,E-2-3,F3
P042,C-5,C-5,B-5,B-5,E-1-4,E-2-3,F3
P043,C-5,C-5,B-5,B-5,E-1-4,E-2-3,F3
P044,C-30,C-30,B-30,B-30,E-1-10,E-2-13,F3
P045,C-42,C-42,B-42,B-42,E-1-12,E-2-14,F3
P046,C-42,C-42,B-42,B-42,E-1-12,E-2-14,F3
P047,C-42,C-42,B-42,B-42,E-1-12,E-2-14,F3
P048,C-48,C-48,B-48,B-48,,,F3
P049,C-48,C-48,B-48,B-48,,,F3
P050,C-16,B-16,B-16,B-16,E-1-2,E-2-1,F3
P051,C-16,B-16,B-16,B-16,E-1-2,E-2-1,F3
P052,C-16,B-16,B-16,B-16,E-1-2,E-2-1,F3
P053,C-7,C-7,B-7,B-7,E-1-2,E-2-1,F3
P054,C-7,C-7,B-7,B-7,E-1-2,E-2-1,F3
P055,C-8,B-8,B-8,B-8,E-1-2,E-2-1,F3
P056,C-8,B-8,B-8,B-8,E-1-2,E-2-1,F3
P057,C-8,B-8,B-8,B-8,E-1-2,E-2-1,F3
P058,C-31,C-31,B-31,B-31,E-1-10,E-2-13,F3
P059,C-31,B-31,B-31,B-31,E-1-10,E-2-13,F3
P060,C-31,B-31,B-31,B-31,E-1-10,E-2-13,F3
P061,C-29,C-29,B-29,B-29,E-1-10,E-2-13,F3
P062,C-31,B-31,B-31,B-31,E-1-10,E-2-13,F3
P063,C-31,B-31,B-31,B-31,E-1-10,E-2-13,F3
P064,C-31,B-31,B-31,B-31,E-1-10,E-2-13,F3
